"Datum und Uhrzeit" Gesamtanlage[kWh] "  FX" "  FM" " RSK" RSKF " SDK" SHK_TAG "  NM" " VPM" "  PM" " TMK" " UPM" " TXK" " TNK" " TGK"
04.12.2022 0.73151 6.0 1.9 0.0 0 0.0 0 8.0 6.2 950.2 0.9 94.46 2.5 -0.4 -0.1
05.12.2022 1.28738 6.7 2.0 1.7 6 0.0 0 7.8 6.6 955.98 2.6 89.79 4.6 0.7 0.7
06.12.2022 2.03608 5.8 2.0 0.0 6 0.733 0 7.0 6.1 955.47 2.5 83.75 3.8 0.5 -1.1
07.12.2022 3.91016 6.5 1.9 0.0 6 2.083 0 7.1 5.8 953.53 2.3 81.25 5.0 1.1 -0.6
08.12.2022 3.19831 3.9 1.2 0.0 0 0.467 0 6.1 5.7 947.72 1.2 85.38 3.6 -1.8 -3.5
09.12.2022 1.10825 4.7 1.4 1.7 8 0.0 0 7.6 5.3 941.53 -0.7 91.33 0.5 -2.6 -3.6
10.12.2022 0.00679 7.2 2.1 3.1 8 0.0 1 7.5 5.6 944.03 -0.4 93.67 0.4 -1.9 -2.3
11.12.2022 0.00353 7.4 2.6 0.0 8 1.167 5 7.5 4.1 946.89 -2.5 81.38 -1.3 -3.6 -4.2
12.12.2022 0.00617 5.0 2.0 0.0 7 6.883 4 3.7 3.4 948.9 -3.8 74.67 -0.8 -6.7 -8.3
13.12.2022 0.0046 7.2 2.4 0.0 8 7.183 3 4.9 2.9 946.31 -7.2 81.46 -5.6 -10.2 -11.0
14.12.2022 0 6.8 1.9 11.8 8 0.0 3 7.8 4.7 939.58 -2.3 89.63 0.8 -5.9 -5.5
15.12.2022 0 6.3 2.2 4.8 8 0.0 6 7.8 5.1 942.9 -1.4 92.67 0.1 -2.3 -2.1
16.12.2022 0 7.1 2.6 4.1 7 0.0 7 7.5 4.9 946.81 -1.8 91.79 0.0 -3.4 -1.7
17.12.2022 0 5.5 1.9 0.0 7 7.117 11 4.8 3.8 961.57 -4.3 86.17 -2.0 -6.4 -6.0
18.12.2022 0 6.0 2.3 0.0 7 0.0 10 8.0 3.7 966.94 -5.5 90.08 -4.6 -6.1 -3.5
19.12.2022 0 4.5 1.3 0.0 6 0.7 10 7.6 5.1 964.34 -1.1 88.38 2.8 -6.0 -3.5
20.12.2022 0 4.1 1.2 0.0 6 0.367 9 8.0 6.7 958.8 2.8 89.13 7.6 -0.2 -2.5
21.12.2022 0.11278 6.4 2.2 1.5 6 0.0 6 7.3 8.3 954.73 6.5 85.5 9.3 2.6 0.1
22.12.2022 2.07387 22.0 4.9 4.1 6 1.15 0 7.5 8.3 950.77 9.3 71.58 11.7 5.6 4.2
23.12.2022 1.94141 14.3 4.7 18.4 6 0.033 0 7.7 11.1 948.05 10.5 87.25 12.4 7.5 6.7
24.12.2022 2.71604 10.9 3.7 0.0 6 1.9 0 7.6 8.7 955.24 9.5 73.38 11.1 7.0 6.1
25.12.2022 3.27165 6.7 2.1 0.0 6 7.35 0 6.0 9.4 956.43 9.6 78.58 14.4 7.0 3.9
26.12.2022 2.7174 15.8 3.7 10.9 6 3.317 0 6.7 8.7 958.08 9.1 75.25 14.5 5.8 4.0
27.12.2022 4.30673 13.7 2.7 0.0 0 5.55 0 5.1 6.5 965.6 4.5 76.83 7.0 1.2 -1.2
28.12.2022 4.12369 6.9 2.6 0.0 0 3.6 0 7.4 6.1 959.33 5.1 70.38 9.5 0.6 -1.6
29.12.2022 4.28937 9.5 3.2 1.2 6 3.417 0 7.8 6.0 953.1 8.9 52.33 13.5 5.1 3.0
30.12.2022 3.92056 13.3 2.9 1.5 6 6.1 0 6.1 8.1 955.09 7.4 78.33 12.7 4.3 2.0
31.12.2022 3.78246 14.7 3.1 0.0 6 2.85 0 7.7 10.0 958.24 13.9 63.67 20.0 10.5 7.2
